date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2022-12-18,30177,7478,96028,1151,0,16993,111
2022-12-19,30920,5913,97942,1217,0,18642,408
2022-12-20,30029,6298,101542,936,0,20240,159
2022-12-21,29681,7008,94688,823,0,16814,177
2022-12-22,28965,7092,90841,735,0,13899,328
2022-12-23,28957,6976,91545,725,0,12787,148
2022-12-24,29607,7729,85517,919,0,10575,268
2022-12-25,32452,8711,90341,1153,0,12507,156
2022-12-26,32240,6756,91380,984,0,13408,359
2022-12-27,32474,7722,92451,943,0,13704,259
2022-12-28,33086,8860,86728,931,0,11020,203
2022-12-29,34006,8949,91967,990,0,12775,258
2022-12-30,34586,8616,97141,908,0,14456,151
2022-12-31,35200,8066,102245,992,0,16332,558
2023-01-01,39220,9239,107793,1244,0,18571,36
2023-01-02,37170,5380,107052,808,0,18635,75
2023-01-03,35388,5329,109615,937,0,20534,129
2023-01-04,33232,4939,105579,792,0,19501,94
2023-01-05,31881,4836,103418,770,0,19011,102
2023-01-06,29688,4190,99609,684,0,15714,156
2023-01-07,28001,4798,93568,836,0,14269,71
2023-01-08,28894,5057,96476,1065,0,16301,31
2023-01-09,29062,4148,97963,1152,0,18068,264
2023-01-10,26741,4567,100544,882,0,19538,86
2023-01-11,24616,4576,89785,828,0,15285,88
2023-01-12,23299,4800,87661,777,0,15470,82
2023-01-13,22115,4718,83846,802,0,13147,89
2023-01-14,22045,6165,87983,1033,0,14979,112
2023-01-15,23622,6556,91749,1257,0,17259,31
2023-01-16,23445,5737,93386,1291,0,18794,412
2023-01-17,22530,6117,91588,1153,0,18287,111
2023-01-18,22049,6383,90035,1064,0,17690,103
2023-01-19,21446,6404,88336,1027,0,16649,98
2023-01-20,21790,7074,86867,977,0,13788,135
2023-01-21,22483,7810,91012,1258,0,15978,62
2023-01-22,21920,5780,91419,980,0,16633,11
2023-01-23,20219,3267,90753,652,0,16633,11
2023-01-24,19283,2809,91189,738,0,17326,17
2023-01-25,19626,3008,93204,856,0,18918,42
2023-01-26,19287,4933,96537,942,0,20674,93
2023-01-27,19658,5967,92389,977,0,17324,147
2023-01-28,21047,7414,86456,1216,0,13055,87
2023-01-29,23931,8368,91245,1415,0,15371,46
2023-01-30,25411,7522,93889,1575,0,17319,168
2023-01-31,25046,8499,97985,1603,0,19215,124
2023-02-01,24332,8347,91446,1683,0,16320,166
2023-02-02,23579,7851,94583,1516,0,17790,117
2023-02-03,22604,7369,91770,1278,0,15505,122
2023-02-04,22441,7254,95817,1332,0,17327,109
2023-02-05,23979,7225,99080,1516,0,19246,32
2023-02-06,24731,5585,101327,1493,0,20598,141
2023-02-07,23635,6266,105708,1175,0,21963,118
2023-02-08,22686,6483,97550,905,0,17875,90
2023-02-09,21767,6879,98329,804,0,18301,78
2023-02-10,21289,6112,90177,887,0,14274,109
2023-02-11,21743,7517,90373,1089,0,13312,98
2023-02-12,24409,8451,95087,1407,0,15545,53
2023-02-13,25425,7310,97345,1635,0,17534,182
2023-02-14,23862,7630,101650,1610,0,19235,166
2023-02-15,22501,7775,92630,1555,0,14958,124
2023-02-16,22161,7751,92041,1401,0,14130,105
2023-02-17,21581,7830,92243,1199,0,13333,153
2023-02-18,22015,7978,93537,1271,0,13660,103
2023-02-19,24666,8300,98456,1539,0,15567,64
2023-02-20,25184,6567,100394,1582,0,17147,361
2023-02-21,24278,6988,104812,1350,0,18616,99
2023-02-22,23004,7500,101605,1085,0,17072,263
2023-02-23,22149,7409,98518,874,0,15133,176
2023-02-24,21495,6635,102217,744,0,16450,104
2023-02-25,22009,7486,97683,950,0,14657,83
