date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2022-07-05,126,88,44,16,0,13,20
2022-07-06,113,87,35,10,0,11,20
2022-07-07,118,88,32,13,0,12,26
2022-07-08,147,96,46,19,0,8,25
2022-07-09,110,87,10,11,0,1,19
2022-07-10,45,34,12,6,0,1,7
2022-07-11,112,69,43,37,0,28,17
2022-07-12,144,94,41,24,0,18,39
2022-07-13,157,104,38,26,0,8,29
2022-07-14,156,99,40,13,0,5,31
2022-07-15,144,96,39,22,0,15,28
2022-07-16,4041,52,10,5,0,1,18
2022-07-17,42,26,7,11,0,2,17
2022-07-18,123,63,72,46,0,40,32
2022-07-19,162,563,2920,87,0,1103,37
2022-07-20,130,87,34,15,0,15,30
2022-07-21,129,88,102,17,0,14,23
2022-07-22,121,79,44,13,1,20,17
2022-07-23,53,38,13,7,0,2,15
2022-07-24,57,39,7,10,0,3,8
2022-07-25,143,87,67,36,1,32,35
2022-07-26,157,85,57,32,0,32,20
2022-07-27,122,81,49,22,0,18,23
2022-07-28,113,64,37,18,0,8,25
2022-07-29,130,69,86,22,0,24,28
2022-07-30,93,78,26,15,0,6,12
2022-07-31,63,45,6,9,0,3,10
2022-08-01,132,75,72,31,0,35,28
2022-08-02,106,63,130,34,0,22,16
2022-08-03,124,57,67,14,0,27,19
2022-08-04,118,69,34,18,0,12,27
2022-08-05,116,70,68,20,0,27,21
2022-08-06,70,55,8,11,0,9,10
2022-08-07,51,43,11,12,0,3,5
2022-08-08,154,96,52,27,0,32,26
2022-08-09,133,80,91,28,0,19,21
2022-08-10,139,73,52,12,0,14,16
2022-08-11,126,82,51,22,0,27,20
2022-08-12,116,67,60,18,0,19,17
2022-08-13,74,58,17,19,0,6,7
2022-08-14,65,49,3,4,0,2,13
2022-08-15,82,54,32,25,0,12,19
2022-08-16,128,76,70,32,0,50,23
2022-08-17,146,73,61,18,0,21,23
2022-08-18,123,82,54,20,0,13,28
2022-08-19,124,63,66,34,0,23,26
